layer,stat_dim,cold_uar,cold_recall_pos,cold_recall_neg,label_gain,speaker_top1,speaker_nmi,speaker_gain,subtractive_honesty_lam1
0,4096,0.5965665958629406,0.24158415841584158,0.9515490333100396,0.09656659586294059,0.07899124635264694,0.4988071521706139,0.07422934159074218,0.022337254272198404
1,4096,0.5767064966454717,0.20396039603960395,0.9494525972513393,0.07670649664547169,0.07732388495206335,0.499311334876579,0.0725619801901586,0.004144516455313094
2,4096,0.6045464294857159,0.2712871287128713,0.9378057302585604,0.10454642948571591,0.07211338057523968,0.5021055882346398,0.06735147581333492,0.03719495367238099
3,4096,0.5769401258784159,0.21584158415841584,0.938038667598416,0.07694012587841592,0.08711963318049187,0.5041149000424189,0.08235772841858711,-0.005417602540171193
4,4096,0.5703007197994433,0.20396039603960395,0.9366410435592826,0.0703007197994433,0.06982075864943726,0.4976383624190319,0.0650588538875325,0.005241865911910795
5,4096,0.5830555382582283,0.2297029702970297,0.9364081062194269,0.08305553825822831,0.07232180075031264,0.49150115375726766,0.06755989598840788,0.015495642269820434
6,4096,0.5788617436167097,0.21386138613861386,0.9438621010948055,0.07886174361670972,0.08128386827844936,0.48410508097486465,0.0765219635165446,0.002339780100165126
7,4096,0.6051864305927448,0.2613861386138614,0.9489867225716282,0.1051864305927448,0.08128386827844936,0.4770743031097568,0.0765219635165446,0.028664467076200198
8,4096,0.5929553752020904,0.2297029702970297,0.9562077801071511,0.0929553752020904,0.07273864110045852,0.4738413643164647,0.06797673633855376,0.024978638863536642
9,4096,0.5992458365333388,0.2495049504950495,0.9489867225716282,0.09924583653333885,0.06919549812421842,0.4634981717884548,0.06443359336231366,0.03481224317102519
10,4096,0.5866660670259898,0.2297029702970297,0.9436291637549499,0.08666606702598978,0.06877865777407254,0.45713941665489566,0.06401675301216778,0.022649314013822003
11,4096,0.5761246145578919,0.21188118811881188,0.9403680409969718,0.07612461455789188,0.06169237182159233,0.4528714881539776,0.05693046705968757,0.019194147498204306
12,4096,0.5779299942572874,0.21386138613861386,0.9419986023759609,0.07792999425728742,0.06002501042100875,0.44705106750091267,0.05526310565910399,0.02266688859818343
13,4096,0.5633700267301364,0.1900990099009901,0.9366410435592826,0.06337002673013636,0.0566902876198416,0.4418899733256278,0.05192838285793684,0.011441643872199522
14,4096,0.5839287073361424,0.22376237623762377,0.944095038434661,0.08392870733614244,0.05085452271779908,0.43765298343514786,0.046092617955894324,0.037836089380248114
15,4096,0.5723394981007535,0.21386138613861386,0.9308176100628931,0.07233949810075346,0.05356398499374739,0.43989282010083736,0.048802080231842626,0.023537417868910837
16,4096,0.5791537225001326,0.22772277227722773,0.9305846727230375,0.07915372250013264,0.04835348061692372,0.43460016180665456,0.04359157585501895,0.03556214664511369
17,4096,0.5783963301990577,0.22178217821782178,0.9350104821802935,0.07839633019905767,0.04897874114214256,0.43490408966118405,0.044216836380237795,0.03417949381881988
18,4096,0.5657000920217808,0.201980198019802,0.9294199860237596,0.06570009202178084,0.04835348061692372,0.4340045779513116,0.04359157585501895,0.02210851616676189
19,4096,0.5666323026432623,0.2099009900990099,0.9233636151875145,0.06663230264326225,0.04564401834097541,0.4287024989332528,0.04088211357907065,0.025750189064191603
20,4096,0.5760090684120823,0.22772277227722773,0.9242953645469368,0.07600906841208233,0.04376823676531888,0.4328562537787997,0.03900633200341412,0.037002736408668205
21,4096,0.5745526334604111,0.21782178217821782,0.9312834847426043,0.07455263346041108,0.04064193413922468,0.4364533396606259,0.03588002937731992,0.03867260408309116
22,4096,0.5725731273336977,0.22574257425742575,0.9194036804099697,0.0725731273336977,0.040225093789078785,0.4336225605739328,0.03546318902717402,0.03710993830652368
23,4096,0.560575470544958,0.201980198019802,0.9191707430701141,0.06057547054495804,0.040225093789078785,0.43325719666262813,0.03546318902717402,0.025112281517784024
24,4096,0.5613912124965117,0.2099009900990099,0.9128814348940135,0.06139121249651169,0.042934556065027094,0.4332882458086739,0.038172651303122335,0.02321856119338936
